localhost |+| 2017-05-11 00:21:25 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /tomcat.css |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /tomcat.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /favicon.ico |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /bg-upper.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /bg-button.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /bg-middle.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /bg-nav.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:25 |+| GET |+| /asf-logo.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /tomcat.css |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /bg-nav.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /asf-logo.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /tomcat.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /bg-upper.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /bg-middle.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:32 |+| GET |+| /bg-button.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /tomcat.css |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /tomcat.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /bg-nav.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /bg-upper.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /asf-logo.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /bg-button.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:33 |+| GET |+| /bg-middle.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /tomcat.css |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /tomcat.png?etag=11 |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-upper.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-nav.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /asf-logo.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-button.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-middle.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /tomcat.css |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /tomcat.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-nav.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /asf-logo.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-upper.png |+| 304 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-button.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 00:21:34 |+| GET |+| /bg-middle.png |+| 200 |+| Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
localhost |+| 2017-05-11 14:59:45 |+| GET |+| / |+| 200 |+| Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
localhost |+| 2017-05-11 14:59:46 |+| GET |+| /favicon.ico |+| 200 |+| Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
